customer_id,signup_date,home_store,annual_visits,online_ratio,ltv_estimate,first_purchase_date,last_purchase_date,region,loyalty_member,total_purchases,total_spent,avg_purchase_value,visits_2023,has_escalation,escalation_reason,customer_rating,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Customer_Segment
27,2020-07-19,YYC-SE,17,0.39,209.2,2020-07-19,2021-06-06,Calgary SE,False,76,2915.12,38.36,13,False,,4.02,1305,76,2915.12,1,5,5,155,At Risk (Nguy cơ rời bỏ)
28,2020-01-04,YYC-DT,2,0.13,102.55,2020-01-04,2024-11-04,Calgary Downtown,True,9,774.02,86.0,2,True,Website Issue,3.97,58,9,774.02,5,2,2,522,Potential Loyalists (Tiềm năng)
29,2024-08-20,YYC-SE,18,0.09,130.29,2024-08-20,2024-12-14,Calgary SE,False,6,155.65,25.94,9,False,,3.78,18,6,155.65,5,1,1,511,Potential Loyalists (Tiềm năng)
30,2021-06-07,YYC-NW,2,0.11,393.75,2021-06-07,2021-11-12,Calgary NW,False,5,268.81,53.76,2,False,,3.64,1146,5,268.81,1,1,1,111,Hibernating (Ngủ đông)
31,2022-07-16,YYC-SE,16,0.45,4.18,2022-07-16,2023-01-29,Calgary SE,False,39,2825.58,72.45,11,False,,3.02,703,39,2825.58,2,4,5,245,At Risk (Nguy cơ rời bỏ)
32,2021-04-24,ONLINE,9,0.66,110.56,2021-04-24,2024-04-18,Online,True,31,1254.4,40.46,10,False,,4.51,258,31,1254.4,4,4,3,443,Loyal Customers (Trung thành)
33,2021-08-02,YYC-SE,19,0.23,35.74,2021-08-02,2022-09-09,Calgary SE,False,52,2680.1,51.54,13,True,Billing Error,3.23,845,52,2680.1,2,5,4,254,At Risk (Nguy cơ rời bỏ)
34,2022-12-11,YYC-SE,18,0.05,206.49,2022-12-11,2024-04-11,Calgary SE,True,27,1842.8,68.25,18,True,Late Delivery,3.75,265,27,1842.8,4,3,4,434,Loyal Customers (Trung thành)
35,2022-03-11,ONLINE,19,0.3,160.03,2022-03-11,2024-12-12,Online,False,58,3891.56,67.1,21,False,,3.66,20,58,3891.56,5,5,5,555,Elite Shoppers (VVIP)
36,2022-09-20,YYC-NW,13,0.04,209.95,2022-09-20,2023-12-01,Calgary NW,True,29,1282.38,44.22,14,False,,4.71,397,29,1282.38,3,4,3,343,Loyal Customers (Trung thành)
37,2024-03-18,YYC-DT,10,0.45,57.17,2024-03-18,2024-11-11,Calgary Downtown,False,8,711.56,88.94,8,False,,4.09,51,8,711.56,5,2,2,522,Potential Loyalists (Tiềm năng)
38,2023-08-29,YYC-NW,3,0.16,256.99,2023-08-29,2024-08-22,Calgary NW,False,4,172.23,43.06,3,False,,4.09,132,4,172.23,4,1,1,411,Potential Loyalists (Tiềm năng)
39,2024-06-23,ONLINE,3,0.27,49.91,2024-06-23,2024-10-26,Online,False,1,34.95,34.95,2,False,,3.8,67,1,34.95,5,1,1,511,Potential Loyalists (Tiềm năng)
40,2023-09-12,YYC-DT,5,0.22,184.82,2023-09-12,2023-12-22,Calgary Downtown,True,4,257.76,64.44,5,False,,4.38,376,4,257.76,3,1,1,311,Need Attention (Cần chú ý)
41,2020-01-25,YYC-SE,2,0.23,32.62,2020-01-25,2024-04-08,Calgary SE,False,7,304.46,43.49,2,False,,4.72,268,7,304.46,3,1,1,311,Need Attention (Cần chú ý)
42,2022-11-26,YYC-NW,8,0.29,200.89,2022-11-26,2024-12-01,Calgary NW,False,15,1238.84,82.59,8,True,Damaged Book,3.03,31,15,1238.84,5,2,3,523,Potential Loyalists (Tiềm năng)
43,2019-06-11,YYC-DT,10,0.43,69.12,2019-06-11,2020-11-16,Calgary Downtown,False,55,2375.46,43.19,11,False,,4.14,1507,55,2375.46,1,5,4,154,At Risk (Nguy cơ rời bỏ)
44,2022-01-07,YYC-DT,12,0.51,240.19,2022-01-07,2023-03-23,Calgary Downtown,False,31,1961.37,63.27,7,False,,3.81,650,31,1961.37,2,4,4,244,At Risk (Nguy cơ rời bỏ)
45,2022-05-15,ONLINE,4,0.57,117.91,2022-05-15,2023-07-15,Online,False,8,448.81,56.1,4,False,,3.27,536,8,448.81,2,2,2,222,Need Attention (Cần chú ý)
46,2022-10-12,YYC-SE,15,0.38,235.32,2022-10-12,2023-03-11,Calgary SE,False,29,2570.48,88.64,12,False,,4.2,662,29,2570.48,2,4,4,244,At Risk (Nguy cơ rời bỏ)
47,2024-12-11,YYC-NW,15,0.42,191.18,2024-12-11,2024-09-21,Calgary NW,True,3,153.73,51.24,12,False,,4.36,102,3,153.73,5,1,1,511,Potential Loyalists (Tiềm năng)
48,2023-11-20,YYC-SE,10,0.39,47.14,2023-11-20,2024-06-06,Calgary SE,True,9,585.53,65.06,6,False,,4.35,209,9,585.53,4,2,2,422,Potential Loyalists (Tiềm năng)
49,2019-01-02,YYC-NW,14,0.15,324.86,2019-01-02,2023-03-14,Calgary NW,False,74,5551.01,75.01,14,False,,4.41,659,74,5551.01,2,5,5,255,At Risk (Nguy cơ rời bỏ)
50,2023-01-30,YYC-SE,16,0.15,161.83,2023-01-30,2023-08-25,Calgary SE,True,22,1959.11,89.05,12,False,,4.2,495,22,1959.11,3,3,4,334,Loyal Customers (Trung thành)
51,2020-11-01,YYC-DT,3,0.06,396.24,2020-11-01,2021-12-11,Calgary Downtown,False,11,991.93,90.18,3,True,Billing Error,3.4,1117,11,991.93,1,2,3,123,Hibernating (Ngủ đông)
52,2024-02-22,YYC-DT,14,0.28,139.38,2024-02-22,2024-12-27,Calgary Downtown,False,10,525.31,52.53,7,False,,3.33,5,10,525.31,5,2,2,522,Potential Loyalists (Tiềm năng)
53,2024-07-11,YYC-SE,17,0.02,101.38,2024-07-11,2024-10-10,Calgary SE,False,6,295.44,49.24,20,False,,3.97,83,6,295.44,5,1,1,511,Potential Loyalists (Tiềm năng)
54,2022-08-12,ONLINE,12,0.38,62.95,2022-08-12,2024-02-19,Online,False,24,1765.46,73.56,8,False,,3.42,317,24,1765.46,3,3,4,334,Loyal Customers (Trung thành)
55,2024-09-10,YYC-DT,3,0.47,112.06,2024-09-10,2024-12-18,Calgary Downtown,False,0,0.0,0.0,2,False,,4.53,14,0,0.0,5,1,1,511,Potential Loyalists (Tiềm năng)
56,2022-10-05,YYC-DT,4,0.3,209.23,2022-10-05,2024-01-25,Calgary Downtown,False,7,239.62,34.23,4,True,Website Issue,3.86,342,7,239.62,3,1,1,311,Need Attention (Cần chú ý)
57,2022-04-11,YYC-NW,15,0.14,149.81,2022-04-11,2023-11-28,Calgary NW,False,29,1872.13,64.56,17,True,Rude Staff,3.81,400,29,1872.13,3,4,4,344,Loyal Customers (Trung thành)
58,2023-07-30,YYC-SE,2,0.07,175.86,2023-07-30,2024-11-22,Calgary SE,False,2,184.75,92.38,1,False,,4.11,40,2,184.75,5,1,1,511,Potential Loyalists (Tiềm năng)
59,2019-06-28,YYC-SE,14,0.6,83.5,2019-06-28,2021-04-11,Calgary SE,False,63,3133.54,49.74,14,True,Rude Staff,3.39,1361,63,3133.54,1,5,5,155,At Risk (Nguy cơ rời bỏ)
60,2019-08-07,ONLINE,19,0.24,45.83,2019-08-07,2022-10-07,Online,False,89,3107.22,34.91,14,True,Billing Error,3.49,817,89,3107.22,2,5,5,255,At Risk (Nguy cơ rời bỏ)
61,2024-04-22,YYC-NW,10,0.08,172.96,2024-04-22,2024-10-28,Calgary NW,True,5,470.85,94.17,6,False,,4.81,65,5,470.85,5,1,2,512,Potential Loyalists (Tiềm năng)
62,2023-10-16,YYC-DT,9,0.32,150.39,2023-10-16,2024-10-03,Calgary Downtown,True,9,677.27,75.25,9,False,,4.66,90,9,677.27,5,2,2,522,Potential Loyalists (Tiềm năng)
63,2021-07-21,YYC-SE,4,0.08,60.18,2021-07-21,2023-09-24,Calgary SE,False,11,690.77,62.8,3,False,,4.14,465,11,690.77,3,2,2,322,Need Attention (Cần chú ý)
64,2021-05-18,YYC-DT,5,0.33,172.51,2021-05-18,2024-04-17,Calgary Downtown,False,16,822.72,51.42,4,False,,4.19,259,16,822.72,4,3,2,432,Loyal Customers (Trung thành)
65,2021-01-16,YYC-DT,11,0.23,242.03,2021-01-16,2024-06-18,Calgary Downtown,True,40,3444.12,86.1,13,True,Rude Staff,3.77,197,40,3444.12,4,4,5,445,Elite Shoppers (VVIP)
66,2023-08-29,ONLINE,9,0.37,167.58,2023-08-29,2024-07-08,Online,True,11,996.29,90.57,10,False,,4.6,177,11,996.29,4,2,3,423,Potential Loyalists (Tiềm năng)
67,2022-06-14,YYC-SE,17,0.24,144.78,2022-06-14,2023-02-25,Calgary SE,False,43,2366.3,55.03,20,True,Late Delivery,3.25,676,43,2366.3,2,4,4,244,At Risk (Nguy cơ rời bỏ)
68,2022-09-19,ONLINE,10,0.25,191.33,2022-09-19,2024-08-20,Online,False,16,572.25,35.77,7,False,,4.3,134,16,572.25,4,3,2,432,Loyal Customers (Trung thành)
69,2024-04-11,YYC-DT,6,0.38,170.01,2024-04-11,2024-10-03,Calgary Downtown,False,4,181.14,45.28,3,True,Website Issue,3.27,90,4,181.14,5,1,1,511,Potential Loyalists (Tiềm năng)
70,2023-02-03,YYC-NW,6,0.07,29.2,2023-02-03,2024-10-24,Calgary NW,False,12,897.93,74.83,4,False,,3.59,69,12,897.93,5,2,3,523,Potential Loyalists (Tiềm năng)
71,2020-05-06,YYC-DT,9,0.38,254.11,2020-05-06,2021-05-27,Calgary Downtown,False,43,2373.8,55.2,7,False,,4.26,1315,43,2373.8,1,4,4,144,At Risk (Nguy cơ rời bỏ)
72,2021-09-20,YYC-NW,5,0.69,102.91,2021-09-20,2024-06-15,Calgary NW,False,15,1415.9,94.39,6,False,,4.14,200,15,1415.9,4,2,3,423,Potential Loyalists (Tiềm năng)
73,2021-07-27,YYC-DT,6,0.29,91.1,2021-07-27,2022-03-07,Calgary Downtown,False,20,1812.51,90.63,6,False,,4.4,1031,20,1812.51,1,3,4,134,At Risk (Nguy cơ rời bỏ)
74,2020-09-18,ONLINE,8,0.41,44.25,2020-09-18,2021-04-08,Online,True,33,2461.18,74.58,5,False,,4.29,1364,33,2461.18,1,4,4,144,At Risk (Nguy cơ rời bỏ)
75,2022-06-05,YYC-NW,13,0.34,62.91,2022-06-05,2024-10-06,Calgary NW,False,36,3345.7,92.94,11,False,,4.03,87,36,3345.7,5,4,5,545,Elite Shoppers (VVIP)
76,2024-02-04,YYC-NW,13,0.24,110.03,2024-02-04,2024-12-13,Calgary NW,False,10,584.69,58.47,9,False,,4.64,19,10,584.69,5,2,2,522,Potential Loyalists (Tiềm năng)
77,2020-06-24,YYC-NW,2,0.03,200.14,2020-06-24,2021-09-06,Calgary NW,False,6,191.6,31.93,2,False,,4.06,1213,6,191.6,1,1,1,111,Hibernating (Ngủ đông)
78,2022-04-18,YYC-DT,13,0.29,229.7,2022-04-18,2024-02-19,Calgary Downtown,True,29,894.89,30.86,15,False,,4.78,317,29,894.89,3,4,3,343,Loyal Customers (Trung thành)
79,2022-02-17,YYC-DT,7,0.32,222.48,2022-02-17,2024-07-12,Calgary Downtown,True,22,1148.86,52.22,4,False,,4.36,173,22,1148.86,4,3,3,433,Loyal Customers (Trung thành)
80,2021-02-03,YYC-DT,8,0.18,118.7,2021-02-03,2022-04-19,Calgary Downtown,False,29,1838.99,63.41,9,False,,3.95,988,29,1838.99,1,4,4,144,At Risk (Nguy cơ rời bỏ)
81,2024-04-24,YYC-SE,14,0.43,197.5,2024-04-24,2024-11-16,Calgary SE,False,9,461.7,51.3,8,True,Billing Error,3.73,46,9,461.7,5,2,2,522,Potential Loyalists (Tiềm năng)
82,2020-04-12,YYC-DT,14,0.3,184.31,2020-04-12,2022-02-22,Calgary Downtown,False,67,4071.87,60.77,15,False,,3.67,1044,67,4071.87,1,5,5,155,At Risk (Nguy cơ rời bỏ)
83,2023-04-19,YYC-DT,6,0.34,100.87,2023-04-19,2024-06-30,Calgary Downtown,False,7,303.89,43.41,6,False,,4.37,185,7,303.89,4,1,1,411,Potential Loyalists (Tiềm năng)
84,2024-04-28,YYC-DT,16,0.05,358.97,2024-04-28,2024-08-07,Calgary Downtown,True,8,467.56,58.44,12,False,,3.85,147,8,467.56,4,2,2,422,Potential Loyalists (Tiềm năng)
85,2024-10-14,YYC-NW,4,0.16,86.54,2024-10-14,2024-07-12,Calgary NW,False,1,41.54,41.54,3,False,,4.05,173,1,41.54,4,1,1,411,Potential Loyalists (Tiềm năng)
86,2021-05-17,YYC-DT,12,0.28,32.66,2021-05-17,2024-05-15,Calgary Downtown,True,39,2275.75,58.35,12,False,,4.47,231,39,2275.75,4,4,4,444,Elite Shoppers (VVIP)
87,2024-07-21,ONLINE,13,0.49,476.5,2024-07-21,2024-11-25,Online,False,4,251.83,62.96,12,True,Billing Error,3.29,37,4,251.83,5,1,1,511,Potential Loyalists (Tiềm năng)
88,2023-09-01,YYC-SE,11,0.23,139.27,2023-09-01,2024-11-20,Calgary SE,False,10,387.09,38.71,13,False,,3.95,42,10,387.09,5,2,2,522,Potential Loyalists (Tiềm năng)
89,2023-07-12,YYC-SE,3,0.34,72.12,2023-07-12,2024-11-28,Calgary SE,False,4,255.77,63.94,2,False,,4.03,34,4,255.77,5,1,1,511,Potential Loyalists (Tiềm năng)
90,2022-04-03,YYC-NW,2,0.5,42.47,2022-04-03,2024-08-11,Calgary NW,True,3,256.64,85.55,2,False,,4.61,143,3,256.64,4,1,1,411,Potential Loyalists (Tiềm năng)
91,2020-04-27,YYC-SE,17,0.69,70.69,2020-04-27,2023-06-07,Calgary SE,False,57,4333.17,76.02,9,False,,3.59,574,57,4333.17,2,5,5,255,At Risk (Nguy cơ rời bỏ)
92,2019-08-21,YYC-DT,15,0.47,35.74,2019-08-21,2020-08-08,Calgary Downtown,False,80,7060.24,88.25,9,False,,4.47,1607,80,7060.24,1,5,5,155,At Risk (Nguy cơ rời bỏ)
93,2021-02-03,YYC-DT,17,0.42,124.49,2021-02-03,2023-05-18,Calgary Downtown,False,71,4199.75,59.15,20,False,,4.14,594,71,4199.75,2,5,5,255,At Risk (Nguy cơ rời bỏ)
94,2019-06-12,YYC-NW,4,0.04,324.26,2019-06-12,2022-04-15,Calgary NW,False,22,1895.94,86.18,3,False,,4.03,992,22,1895.94,1,3,4,134,At Risk (Nguy cơ rời bỏ)
95,2023-06-28,ONLINE,12,0.19,121.31,2023-06-28,2023-10-14,Online,False,18,779.13,43.28,14,False,,3.82,445,18,779.13,3,3,2,332,Loyal Customers (Trung thành)
96,2020-07-25,YYC-NW,18,0.11,113.3,2020-07-25,2023-07-18,Calgary NW,True,75,5720.86,76.28,17,False,,4.83,533,75,5720.86,2,5,5,255,At Risk (Nguy cơ rời bỏ)
97,2022-04-09,ONLINE,17,0.42,159.25,2022-04-09,2023-05-01,Online,True,33,959.35,29.07,9,True,Website Issue,4.1,611,33,959.35,2,4,3,243,At Risk (Nguy cơ rời bỏ)
98,2023-09-08,YYC-DT,18,0.18,76.31,2023-09-08,2024-09-17,Calgary Downtown,True,18,1056.75,58.71,19,False,,4.16,106,18,1056.75,5,3,3,533,Loyal Customers (Trung thành)
99,2020-02-01,YYC-DT,2,0.41,52.86,2020-02-01,2022-07-31,Calgary Downtown,False,8,492.54,61.57,2,False,,3.86,885,8,492.54,2,2,2,222,Need Attention (Cần chú ý)
100,2021-03-14,YYC-DT,5,0.06,144.27,2021-03-14,2023-11-24,Calgary Downtown,False,13,1175.35,90.41,6,False,,4.09,404,13,1175.35,3,2,3,323,Need Attention (Cần chú ý)
101,2021-08-08,YYC-DT,14,0.42,76.39,2021-08-08,2024-01-05,Calgary Downtown,False,51,2620.76,51.39,15,False,,4.22,362,51,2620.76,3,5,4,354,Loyal Customers (Trung thành)
102,2019-08-18,YYC-DT,12,0.12,92.6,2019-08-18,2024-05-05,Calgary Downtown,False,62,2623.64,42.32,8,True,Billing Error,2.91,241,62,2623.64,4,5,4,454,Elite Shoppers (VVIP)
103,2024-04-08,YYC-DT,5,0.18,181.45,2024-04-08,2024-09-27,Calgary Downtown,True,3,235.61,78.54,3,False,,4.67,96,3,235.61,5,1,1,511,Potential Loyalists (Tiềm năng)
104,2023-09-28,YYC-NW,12,0.65,32.76,2023-09-28,2024-03-12,Calgary NW,False,13,769.63,59.2,8,False,,4.08,295,13,769.63,3,2,2,322,Need Attention (Cần chú ý)
105,2023-01-17,YYC-NW,12,0.04,134.88,2023-01-17,2024-02-21,Calgary NW,False,24,2166.59,90.27,13,True,Rude Staff,2.66,315,24,2166.59,3,3,4,334,Loyal Customers (Trung thành)
106,2019-11-07,YYC-NW,12,0.44,151.67,2019-11-07,2022-08-07,Calgary NW,False,63,3841.56,60.98,8,False,,4.52,878,63,3841.56,2,5,5,255,At Risk (Nguy cơ rời bỏ)
107,2019-10-08,YYC-SE,5,0.2,377.57,2019-10-08,2021-05-26,Calgary SE,False,21,680.43,32.4,4,False,,4.14,1316,21,680.43,1,3,2,132,At Risk (Nguy cơ rời bỏ)
108,2023-09-03,ONLINE,17,0.1,180.45,2023-09-03,2024-04-14,Online,False,18,1335.42,74.19,16,False,,4.59,262,18,1335.42,4,3,3,433,Loyal Customers (Trung thành)
109,2021-04-04,YYC-DT,13,0.24,283.33,2021-04-04,2022-04-12,Calgary Downtown,True,50,2015.14,40.3,9,False,,4.75,995,50,2015.14,1,5,4,154,At Risk (Nguy cơ rời bỏ)
110,2021-11-04,YYC-NW,6,0.51,84.06,2021-11-04,2024-03-01,Calgary NW,False,16,415.83,25.99,3,False,,4.0,306,16,415.83,3,3,2,332,Loyal Customers (Trung thành)
111,2023-05-15,YYC-NW,10,0.07,64.57,2023-05-15,2024-06-15,Calgary NW,False,13,1080.99,83.15,11,False,,4.6,200,13,1080.99,4,2,3,423,Potential Loyalists (Tiềm năng)
112,2021-08-01,ONLINE,5,0.45,76.3,2021-08-01,2022-03-01,Online,True,13,642.89,49.45,4,False,,4.5,1037,13,642.89,1,2,2,122,Hibernating (Ngủ đông)
113,2023-03-11,ONLINE,4,0.34,227.01,2023-03-11,2024-04-17,Online,False,7,579.74,82.82,2,False,,4.43,259,7,579.74,4,1,2,412,Potential Loyalists (Tiềm năng)
114,2023-01-19,YYC-SE,3,0.53,225.98,2023-01-19,2023-05-11,Calgary SE,False,6,393.8,65.63,3,False,,3.87,601,6,393.8,2,1,2,212,Need Attention (Cần chú ý)
115,2019-10-17,YYC-SE,17,0.04,150.03,2019-10-17,2024-11-28,Calgary SE,False,68,1751.24,25.75,17,False,,3.91,34,68,1751.24,5,5,4,554,Elite Shoppers (VVIP)
116,2020-07-07,YYC-DT,6,0.1,154.03,2020-07-07,2021-12-28,Calgary Downtown,False,24,1135.83,47.33,6,True,Late Delivery,3.74,1100,24,1135.83,1,3,3,133,At Risk (Nguy cơ rời bỏ)
117,2023-11-30,YYC-DT,8,0.2,95.5,2023-11-30,2024-06-10,Calgary Downtown,False,8,411.75,51.47,8,False,,4.04,205,8,411.75,4,2,2,422,Potential Loyalists (Tiềm năng)
118,2024-10-23,YYC-NW,4,0.54,116.05,2024-10-23,2024-06-07,Calgary NW,False,1,80.44,80.44,3,True,Damaged Book,3.35,208,1,80.44,4,1,1,411,Potential Loyalists (Tiềm năng)
119,2022-10-06,YYC-SE,9,0.13,130.25,2022-10-06,2024-10-05,Calgary SE,False,14,587.98,42.0,5,False,,3.89,88,14,587.98,5,2,2,522,Potential Loyalists (Tiềm năng)
120,2022-04-01,YYC-NW,11,0.67,25.35,2022-04-01,2022-10-10,Calgary NW,False,33,2717.29,82.34,13,False,,4.25,814,33,2717.29,2,4,4,244,At Risk (Nguy cơ rời bỏ)
121,2022-09-14,YYC-SE,11,0.17,134.55,2022-09-14,2023-09-06,Calgary SE,False,25,1835.77,73.43,8,False,,4.5,483,25,1835.77,3,3,4,334,Loyal Customers (Trung thành)
122,2024-05-29,YYC-DT,11,0.08,231.33,2024-05-29,2024-10-23,Calgary Downtown,False,5,405.77,81.15,8,True,Damaged Book,2.86,70,5,405.77,5,1,2,512,Potential Loyalists (Tiềm năng)
123,2021-09-06,YYC-DT,3,0.19,108.75,2021-09-06,2023-10-16,Calgary Downtown,False,9,695.71,77.3,3,False,,3.85,443,9,695.71,3,2,2,322,Need Attention (Cần chú ý)
124,2022-05-19,YYC-NW,7,0.53,241.19,2022-05-19,2022-09-09,Calgary NW,True,13,380.5,29.27,6,False,,5.0,845,13,380.5,2,2,2,222,Need Attention (Cần chú ý)
125,2022-05-15,YYC-NW,19,0.44,129.88,2022-05-15,2024-05-12,Calgary NW,True,36,2511.4,69.76,15,False,,4.04,234,36,2511.4,4,4,4,444,Elite Shoppers (VVIP)
126,2021-09-25,YYC-SE,18,0.56,109.19,2021-09-25,2022-10-26,Calgary SE,False,60,3427.67,57.13,11,False,,4.09,798,60,3427.67,2,5,5,255,At Risk (Nguy cơ rời bỏ)
127,2021-07-31,YYC-SE,16,0.6,80.61,2021-07-31,2022-03-24,Calgary SE,False,55,1590.93,28.93,16,False,,4.46,1014,55,1590.93,1,5,4,154,At Risk (Nguy cơ rời bỏ)
128,2021-08-08,ONLINE,19,0.34,56.57,2021-08-08,2022-05-11,Online,True,53,4537.37,85.61,15,False,,4.39,966,53,4537.37,1,5,5,155,At Risk (Nguy cơ rời bỏ)
129,2024-03-24,YYC-SE,18,0.63,132.42,2024-03-24,2024-09-21,Calgary SE,True,9,641.03,71.23,15,True,Damaged Book,4.33,102,9,641.03,5,2,2,522,Potential Loyalists (Tiềm năng)
130,2020-07-09,YYC-NW,19,0.02,37.62,2020-07-09,2024-09-17,Calgary NW,False,62,5417.07,87.37,17,False,,4.63,106,62,5417.07,5,5,5,555,Elite Shoppers (VVIP)
131,2021-07-15,YYC-NW,3,0.15,117.6,2021-07-15,2024-02-19,Calgary NW,False,10,561.3,56.13,2,False,,3.87,317,10,561.3,3,2,2,322,Need Attention (Cần chú ý)
