Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,P,F,M,P_score,F_score,M_score,PFM_score,Segment (EN),Segment_Group
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,quarterly,22,2,62,3,2,3,323,Potential Loyal,Potential & Promising
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,annually,32,3,37,2,1,2,212,Dormant Shoppers,Hibernating & Lost
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,weekly,40,1,88,2,3,5,235,At Risk (Strong),Hibernating & Lost
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,weekly,16,1,22,4,3,1,431,Potential Loyal,Potential & Promising
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,annually,14,3,25,4,1,1,411,New Shoppers,Potential & Promising
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,annually,13,3,20,4,1,1,411,New Shoppers,Potential & Promising
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,every 3 months,7,2,56,5,2,3,523,Active Regulars,Potential & Promising
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,every 3 months,41,2,94,1,2,5,125,At Risk (Strong),Hibernating & Lost
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,weekly,14,1,48,4,3,2,432,Potential Loyal,Potential & Promising
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,monthly,16,2,31,4,2,1,421,New Shoppers,Potential & Promising
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,monthly,45,2,79,1,2,4,124,At Risk (Strong),Hibernating & Lost
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,annually,37,3,67,2,1,3,213,At Risk,Hibernating & Lost
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,quarterly,45,2,38,1,2,2,122,Dormant Shoppers,Hibernating & Lost
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,quarterly,38,2,91,2,2,5,225,At Risk (Strong),Hibernating & Lost
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,bi-weekly,48,1,33,1,3,1,131,Lost Shoppers,Hibernating & Lost
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,fortnightly,44,1,69,1,3,4,134,At Risk (Strong),Hibernating & Lost
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,weekly,10,1,45,5,3,2,532,Potential Loyal,Potential & Promising
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.7,Yes,2-Day Shipping,Yes,Yes,44,Venmo,every 3 months,44,2,37,1,2,2,122,Dormant Shoppers,Hibernating & Lost
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,monthly,18,2,60,4,2,3,423,Potential Loyal,Potential & Promising
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,quarterly,31,2,76,2,2,4,224,At Risk (Strong),Hibernating & Lost
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,annually,40,3,39,2,1,2,212,Dormant Shoppers,Hibernating & Lost
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,annually,15,3,100,4,1,5,415,Active Regulars,Potential & Promising
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,fortnightly,19,1,69,4,3,4,434,Needs Engagement,High Risk & Need Attention
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,weekly,45,1,53,1,3,3,133,At Risk (Strong),Hibernating & Lost
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,annually,25,3,21,3,1,1,311,New Shoppers,Potential & Promising
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,quarterly,45,2,43,1,2,2,122,Dormant Shoppers,Hibernating & Lost
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,weekly,36,1,54,2,3,3,233,Dormant Shoppers,Hibernating & Lost
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,monthly,38,2,55,2,2,3,223,Dormant Shoppers,Hibernating & Lost
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,bi-weekly,34,1,30,2,3,1,231,At Risk,Hibernating & Lost
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.7,Yes,Store Pickup,Yes,Yes,39,Debit Card,bi-weekly,39,1,28,2,3,1,231,At Risk,Hibernating & Lost
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,quarterly,7,2,59,5,2,3,523,Active Regulars,Potential & Promising
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,weekly,26,1,20,3,3,1,331,At Risk,Hibernating & Lost
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,weekly,35,1,24,2,3,1,231,At Risk,Hibernating & Lost
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,bi-weekly,35,1,94,2,3,5,235,At Risk (Strong),Hibernating & Lost
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,annually,49,3,28,1,1,1,111,Lost Shoppers,Hibernating & Lost
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,weekly,46,1,73,1,3,4,134,At Risk (Strong),Hibernating & Lost
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,fortnightly,17,1,64,4,3,3,433,Potential Loyal,Potential & Promising
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,monthly,29,2,54,3,2,3,323,Potential Loyal,Potential & Promising
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,weekly,4,1,79,5,3,4,534,Needs Engagement,High Risk & Need Attention
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4,Yes,Express,Yes,Yes,17,Cash,weekly,17,1,37,4,3,2,432,Potential Loyal,Potential & Promising
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,every 3 months,21,2,68,3,2,3,323,Potential Loyal,Potential & Promising
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,fortnightly,31,1,21,2,3,1,231,At Risk,Hibernating & Lost
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,weekly,43,1,79,1,3,4,134,At Risk (Strong),Hibernating & Lost
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18,Debit Card,fortnightly,18,1,83,4,3,4,434,Needs Engagement,High Risk & Need Attention
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,every 3 months,44,2,36,1,2,2,122,Dormant Shoppers,Hibernating & Lost
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,every 3 months,3,2,94,5,2,5,525,Active Regulars,Potential & Promising
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,monthly,49,2,33,1,2,1,121,Lost Shoppers,Hibernating & Lost
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,every 3 months,21,2,46,3,2,2,322,Dormant Shoppers,Hibernating & Lost
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,weekly,5,1,70,5,3,4,534,Needs Engagement,High Risk & Need Attention
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,every 3 months,32,2,29,2,2,1,221,At Risk,Hibernating & Lost
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,annually,34,3,48,2,1,2,212,Dormant Shoppers,Hibernating & Lost
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,every 3 months,21,2,26,3,2,1,321,At Risk,Hibernating & Lost
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,bi-weekly,43,1,85,1,3,5,135,At Risk (Strong),Hibernating & Lost
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,monthly,3,2,58,5,2,3,523,Active Regulars,Potential & Promising
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,annually,21,3,85,3,1,5,315,Active Regulars,Potential & Promising
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,monthly,32,2,43,2,2,2,222,Dormant Shoppers,Hibernating & Lost
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,fortnightly,36,1,53,2,3,3,233,Dormant Shoppers,Hibernating & Lost
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,fortnightly,50,1,91,1,3,5,135,At Risk (Strong),Hibernating & Lost
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,every 3 months,43,2,96,1,2,5,125,At Risk (Strong),Hibernating & Lost
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.3,Yes,Store Pickup,Yes,Yes,24,Credit Card,every 3 months,24,2,72,3,2,4,324,Needs Engagement,High Risk & Need Attention
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,every 3 months,36,2,96,2,2,5,225,At Risk (Strong),Hibernating & Lost
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,every 3 months,21,2,28,3,2,1,321,At Risk,Hibernating & Lost
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,weekly,34,1,40,2,3,2,232,Dormant Shoppers,Hibernating & Lost
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,every 3 months,42,2,32,1,2,1,121,Lost Shoppers,Hibernating & Lost
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,bi-weekly,2,1,95,5,3,5,535,Needs Engagement,High Risk & Need Attention
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,bi-weekly,47,1,41,1,3,2,132,Dormant Shoppers,Hibernating & Lost
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,fortnightly,44,1,53,1,3,3,133,At Risk (Strong),Hibernating & Lost
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,monthly,35,2,47,2,2,2,222,Dormant Shoppers,Hibernating & Lost
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,quarterly,15,2,83,4,2,4,424,Active Regulars,Potential & Promising
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,monthly,29,2,48,3,2,2,322,Dormant Shoppers,Hibernating & Lost
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,18,Credit Card,every 3 months,18,2,99,4,2,5,425,Active Regulars,Potential & Promising
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,Venmo,every 3 months,13,2,87,4,2,5,425,Active Regulars,Potential & Promising
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46,Credit Card,weekly,46,1,62,1,3,3,133,At Risk (Strong),Hibernating & Lost
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,weekly,28,1,76,3,3,4,334,Needs Engagement,High Risk & Need Attention
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,monthly,48,2,100,1,2,5,125,At Risk (Strong),Hibernating & Lost
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.6,Yes,Express,Yes,Yes,43,Venmo,every 3 months,43,2,73,1,2,4,124,At Risk (Strong),Hibernating & Lost
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,annually,37,3,92,2,1,5,215,High-Value At Risk,High Risk & Need Attention
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,annually,20,3,67,4,1,3,413,Active Regulars,Potential & Promising
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,quarterly,33,2,40,2,2,2,222,Dormant Shoppers,Hibernating & Lost
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31,Cash,fortnightly,31,1,98,2,3,5,235,At Risk (Strong),Hibernating & Lost
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,Yes,50,Credit Card,bi-weekly,50,1,85,1,3,5,135,At Risk (Strong),Hibernating & Lost
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,quarterly,35,2,67,2,2,3,223,Dormant Shoppers,Hibernating & Lost
104,54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4,Yes,Next Day Air,Yes,Yes,22,Venmo,bi-weekly,22,1,89,3,3,5,335,Loyal Buyers,Champions & Loyal
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1,PayPal,monthly,1,2,24,5,2,1,521,Active Regulars,Potential & Promising
106,69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,annually,4,3,96,5,1,5,515,Active Regulars,Potential & Promising
107,64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,Yes,31,Credit Card,monthly,31,2,35,2,2,1,221,At Risk,Hibernating & Lost
108,28,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,46,PayPal,fortnightly,46,1,67,1,3,3,133,At Risk (Strong),Hibernating & Lost
109,70,Male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,bi-weekly,32,1,79,2,3,4,234,At Risk (Strong),Hibernating & Lost
110,58,Male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,43,Bank Transfer,fortnightly,43,1,85,1,3,5,135,At Risk (Strong),Hibernating & Lost
111,56,Male,Backpack,Accessories,26,New York,M,Black,Summer,4,Yes,Standard,Yes,Yes,26,Venmo,fortnightly,26,1,26,3,3,1,331,At Risk,Hibernating & Lost
112,26,Male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5,Yes,Free Shipping,Yes,Yes,9,Credit Card,annually,9,3,75,5,1,4,514,Active Regulars,Potential & Promising
113,37,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28,PayPal,bi-weekly,28,1,65,3,3,3,333,Potential Loyal,Potential & Promising
114,44,Male,Hat,Accessories,54,New Jersey,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,Yes,20,PayPal,quarterly,20,2,54,4,2,3,423,Potential Loyal,Potential & Promising
115,70,Male,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,9,Cash,weekly,9,1,95,5,3,5,535,Needs Engagement,High Risk & Need Attention
116,53,Male,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.8,Yes,Standard,Yes,Yes,48,Debit Card,every 3 months,48,2,94,1,2,5,125,At Risk (Strong),Hibernating & Lost
117,55,Male,Shoes,Footwear,86,Virginia,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,Yes,12,Venmo,annually,12,3,86,4,1,5,415,Active Regulars,Potential & Promising
118,50,Male,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,4.6,Yes,Express,Yes,Yes,29,Cash,fortnightly,29,1,32,3,3,1,331,At Risk,Hibernating & Lost
119,50,Male,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,27,Cash,bi-weekly,27,1,45,3,3,2,332,Dormant Shoppers,Hibernating & Lost
120,38,Male,Coat,Outerwear,76,Wyoming,M,Orange,Fall,4.3,Yes,Express,Yes,Yes,44,Cash,annually,44,3,76,1,1,4,114,High-Value At Risk,High Risk & Need Attention
121,64,Male,Hat,Accessories,84,West Virginia,L,Red,Summer,4,Yes,Express,Yes,Yes,32,Bank Transfer,annually,32,3,84,2,1,4,214,High-Value At Risk,High Risk & Need Attention
122,19,Male,Shorts,Clothing,72,Virginia,M,Olive,Winter,4.2,Yes,Standard,Yes,Yes,11,Cash,fortnightly,11,1,72,4,3,4,434,Needs Engagement,High Risk & Need Attention
123,40,Male,Backpack,Accessories,40,Washington,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Cash,fortnightly,44,1,40,1,3,2,132,Dormant Shoppers,Hibernating & Lost
124,57,Male,Sweater,Clothing,89,Louisiana,L,Brown,Fall,3.1,Yes,Free Shipping,Yes,Yes,46,Cash,weekly,46,1,89,1,3,5,135,At Risk (Strong),Hibernating & Lost
125,44,Male,Sweater,Clothing,86,Nevada,M,Gray,Spring,3.1,Yes,Next Day Air,Yes,Yes,50,PayPal,annually,50,3,86,1,1,5,115,High-Value At Risk,High Risk & Need Attention
126,49,Male,Shorts,Clothing,54,California,M,Indigo,Winter,3.6,Yes,Next Day Air,Yes,Yes,45,Venmo,every 3 months,45,2,54,1,2,3,123,Dormant Shoppers,Hibernating & Lost
127,43,Male,Shorts,Clothing,36,Mississippi,L,Pink,Spring,3.9,Yes,Store Pickup,Yes,Yes,48,Cash,every 3 months,48,2,36,1,2,2,122,Dormant Shoppers,Hibernating & Lost
128,24,Male,Sweater,Clothing,89,Mississippi,M,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,26,Credit Card,weekly,26,1,89,3,3,5,335,Loyal Buyers,Champions & Loyal
129,20,Male,Scarf,Accessories,32,California,M,Gold,Spring,4.7,Yes,Standard,Yes,Yes,21,Credit Card,fortnightly,21,1,32,3,3,1,331,At Risk,Hibernating & Lost
130,24,Male,Dress,Clothing,67,Pennsylvania,XL,Olive,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,49,PayPal,bi-weekly,49,1,67,1,3,3,133,At Risk (Strong),Hibernating & Lost
131,44,Male,Scarf,Accessories,39,Kentucky,L,Violet,Fall,3.7,Yes,Next Day Air,Yes,Yes,13,PayPal,fortnightly,13,1,39,4,3,2,432,Potential Loyal,Potential & Promising
132,28,Male,Skirt,Clothing,29,Maine,L,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,46,Credit Card,weekly,46,1,29,1,3,1,131,Lost Shoppers,Hibernating & Lost
133,30,Male,Backpack,Accessories,58,New Mexico,M,Orange,Fall,4.7,Yes,2-Day Shipping,Yes,Yes,42,PayPal,weekly,42,1,58,1,3,3,133,At Risk (Strong),Hibernating & Lost
134,52,Male,Sweater,Clothing,65,Montana,M,Violet,Winter,2.5,Yes,Next Day Air,Yes,Yes,25,Venmo,annually,25,3,65,3,1,3,313,Active Regulars,Potential & Promising
135,43,Male,Hat,Accessories,94,Texas,L,Gray,Fall,4.9,Yes,Store Pickup,Yes,Yes,25,Cash,monthly,25,2,94,3,2,5,325,Needs Engagement,High Risk & Need Attention
136,43,Male,Sandals,Footwear,81,Kansas,M,Purple,Fall,4.1,Yes,Express,Yes,Yes,12,PayPal,quarterly,12,2,81,4,2,4,424,Active Regulars,Potential & Promising
